X1,id,X,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,free.park_agg,paid.park_agg,pool_agg,kitchen_agg,stove_agg,oven_agg,linen_agg,tv_agg,sound_agg,chair_agg,refri_agg,air condi_agg,heat_agg,storage_agg,coffee_agg,breakfast_agg,workspace_agg,dish_agg,soap_agg,dryer_agg,wifi_agg,laundr|washer_agg,shampoo_agg,sauna_agg,tub_agg,toiletries_agg,restaurant_agg,bar_agg,Amazon Prime Video,BBQ grill,Beachfront,Bidet,Building staff,Carbon monoxide alarm,Cleaning before checkout,Cooking basics,Elevator,Essentials,Ethernet connection,Extra pillows and blankets,Fire extinguisher,First aid kit,frascos recicl\u00e1veis e extratos adquiridos de pequenos agricultores brasileiros. Al\u00e9m dos extratos da agricultura familiar,Free residential garage on premises,Free residential garage on premises \u2013 1 space,Free residential garage on premises \u2013 2 spaces,Free residential garage on premises \u2013 3 spaces,Free street parking,Garden or backyard,Gym,Hangers,Host greets you,Hot water,Iron,Lock on bedroom door,Long term stays allowed,Luggage dropoff allowed,Microwave,Mini fridge,Paid street parking off premises,Paid street parking off premises \u2013 BRL70 per day,Paid valet parking on premises,Paid valet parking on premises \u2013 1 space,Patio or balcony,Private entrance,Room-darkening shades,Smoke alarm
1,17878,1,100,100,1,2,1,1,Entire condominium,Entire home/apt,5,1,2,2,500,5,259,93,9,9,10,10,10,9,1,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0
2,25026,2,89,71,0,11,1,0,Entire apartment,Entire home/apt,2,1,1,2,160,7,238,94,9,9,9,10,10,9,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,41198,5,80,25,0,4,1,1,Entire apartment,Entire home/apt,5,1,2,0,1035,3,18,84,8,9,9,9,9,9,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,49179,9,98,98,1,48,1,1,Entire apartment,Entire home/apt,3,1,1,1,250,3,88,94,9,9,10,10,10,9,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0
12,51703,12,100,100,1,2,1,1,Entire apartment,Entire home/apt,2,1,NA,2,287,3,170,95,10,10,10,10,10,10,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0
17,68422,17,100,100,0,1,1,0,Private room in apartment,Private room,2,1,1,1,409,4,79,93,10,9,10,10,10,9,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
19,73581,19,100,83,0,1,1,1,Entire apartment,Entire home/apt,4,1,1,1,458,3,143,85,9,8,10,10,9,8,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1
20,75585,20,NA,100,1,1,1,0,Entire condominium,Entire home/apt,4,1,2,2,378,5,101,96,10,10,10,10,10,10,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1
26,85807,26,44,98,0,7,1,1,Entire apartment,Entire home/apt,4,1,1,3,385,2,4,93,9,9,9,10,10,7,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0
31,88528,31,92,100,0,7,1,1,Entire apartment,Entire home/apt,4,1,1,1,470,2,65,92,10,10,10,9,10,9,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
